Número,Símbolo,Nome,Massa,Grupo,Período,Categoria
1,H,Hidrogênio,1.00794,1,1,Ametal
2,He,Hélio,4.002602,18,1,Gás Nobre
3,Li,Lítio,6941,1,2,Metal Alcalino
4,Be,Berílio,9.012182,2,2,Metal Alcalino-terroso
5,B,Boro,10811,13,2,Semi-metal
6,C,Carbono,12.0107,14,2,Ametal
7,N,Nitrogênio,14.0067,15,2,Ametal
8,O,Oxigênio,15.9994,16,2,Ametal
9,F,Flúor,18.9984032,17,2,Halogênio
10,Ne,Neônio,20.1797,18,2,Gás Nobre
11,Na,Sódio,22.98976928,1,3,Metal Alcalino
12,Mg,Magnésio,24305,2,3,Metal Alcalino-terroso
13,Al,Alumínio,26.9815386,13,3,Metal-representativo
14,Si,Silpicio,28.0855,14,3,Semi-metal
15,P,Fósforo,30.973762,15,3,Ametal
16,S,Enxofre,32065,16,3,Ametal
17,Cl,Cloro,35453,17,3,Halogênio
18,Ar,Argônio,39948,18,3,Gás Nobre
19,K,Potássio,39.0983,1,4,Metal Alcalino
20,Ca,Cálcio,40078,2,4,Metal Alcalino-terroso
21,Sc,Escândio,44.955912,3,4,Metal de Transição
22,Ti,Titânio,47867,4,4,Metal de Transição
23,V,Vanádio,50.9415,5,4,Metal de Transição
24,Cr,Cromo,51.9961,6,4,Metal de Transição
25,Mn,Manganês,54.938045,7,4,Metal de Transição
26,Fe,Ferro,55845,8,4,Metal de Transição
27,Co,Cobalto,58.933195,9,4,Metal de Transição
28,Ni,Níquel,58.6934,10,4,Metal de Transição
29,Cu,Cobre,63546,11,4,Metal de Transição
30,Zn,Zinco,65409,12,4,Metal de Transição
31,Ga,Gálio,69723,13,4,Metal-representativo
32,Ge,Gerrmânio,72.64,14,4,Semi-metal
33,As,Arsênio,74.9216,15,4,Semi-metal
34,Se,Selênio,78.96,16,4,Ametal
35,Br,Bromo,79904,17,4,Halogênio
36,Kr,Criptônio,83798,18,4,Gás Nobre
37,Rb,Rubídio,85.4678,1,5,Metal Alcalino
38,Sr,Estrôncio,87.62,2,5,Metal Alcalino-terroso
39,Y,Ítrio,88.90585,3,5,Metal de Transição
40,Zr,Zircônio,91224,4,5,Metal de Transição
41,Nb,Nióbio,92.90638,5,5,Metal de Transição
42,Mo,Molibdênio,95.94,6,5,Metal de Transição
43,Tc,Tecnécio,98,7,5,Metal de Transição
44,Ru,Rutênio,101.07,8,5,Metal de Transição
45,Rh,Ródio,102.9055,9,5,Metal de Transição
46,Pd,Paládio,106.42,10,5,Metal de Transição
47,Ag,Prata,107.8682,11,5,Metal de Transição
48,Cd,Cádmio,112411,12,5,Metal de Transição
49,In,Índio,114818,13,5,Metal-representativo
